                          Lexeme   Line                 Token Type                 Value     IsLeaf         Parent Token
                  _unionfunction      4                   TK_FUNID       ---------------        Yes             function
                 ---------------    ---                   function       ---------------         No       --------------
                           input      4                   TK_INPUT       ---------------        Yes            input_par
                 ---------------    ---                  input_par       ---------------         No       --------------
                       parameter      4               TK_PARAMETER       ---------------        Yes            input_par
                            list      4                    TK_LIST       ---------------        Yes            input_par
                               [      4                     TK_SQL       ---------------        Yes            input_par
                          record      4                  TK_RECORD       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                            #two      4                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---                   dataType       ---------------         No       --------------
                 ---------------    ---             parameter_list       ---------------         No       --------------
                          d5cc34      4                      TK_ID       ---------------        Yes       parameter_list
                               ,      4                   TK_COMMA       ---------------        Yes       remaining_list
                 ---------------    ---             remaining_list       ---------------         No       --------------
                          #point      4                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                 ---------------    ---                   dataType       ---------------         No       --------------
                 ---------------    ---             parameter_list       ---------------         No       --------------
                            b5c6      4                      TK_ID       ---------------        Yes       parameter_list
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---             remaining_list       ---------------         No       --------------
                               ]      4                     TK_SQR       ---------------        Yes            input_par
                          output      5                  TK_OUTPUT       ---------------        Yes           output_par
                 ---------------    ---                 output_par       ---------------         No       --------------
                       parameter      5               TK_PARAMETER       ---------------        Yes           output_par
                            list      5                    TK_LIST       ---------------        Yes           output_par
                               [      5                     TK_SQL       ---------------        Yes           output_par
                            real      5                    TK_REAL       ---------------        Yes    primitiveDatatype
                 ---------------    ---          primitiveDatatype       ---------------         No       --------------
                 ---------------    ---                   dataType       ---------------         No       --------------
                 ---------------    ---             parameter_list       ---------------         No       --------------
                              d3      5                      TK_ID       ---------------        Yes       parameter_list
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---             remaining_list       ---------------         No       --------------
                               ]      5                     TK_SQR       ---------------        Yes           output_par
                               ;      5                     TK_SEM       ---------------        Yes             function
                          record      7                  TK_RECORD       ---------------        Yes       typeDefinition
                 ---------------    ---             typeDefinition       ---------------         No       --------------
                            #two      7                    TK_RUID       ---------------        Yes       typeDefinition
                            type      8                    TK_TYPE       ---------------        Yes      fieldDefinition
                 ---------------    ---            fieldDefinition       ---------------         No       --------------
                          #point      8                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                 ---------------    ---                  fieldType       ---------------         No       --------------
                               :      8                   TK_COLON       ---------------        Yes      fieldDefinition
                      beginpoint      8                 TK_FIELDID       ---------------        Yes      fieldDefinition
                               ;      8                     TK_SEM       ---------------        Yes      fieldDefinition
                 ---------------    ---           fieldDefinitions       ---------------         No       --------------
                            type      9                    TK_TYPE       ---------------        Yes      fieldDefinition
                 ---------------    ---            fieldDefinition       ---------------         No       --------------
                          #point      9                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                 ---------------    ---                  fieldType       ---------------         No       --------------
                               :      9                   TK_COLON       ---------------        Yes      fieldDefinition
                        endpoint      9                 TK_FIELDID       ---------------        Yes      fieldDefinition
                               ;      9                     TK_SEM       ---------------        Yes      fieldDefinition
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---                 moreFields       ---------------         No       --------------
                       endrecord     10               TK_ENDRECORD       ---------------        Yes       typeDefinition
                 ---------------    ---          actualOrRedefined       ---------------         No       --------------
                 ---------------    ---            typeDefinitions       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---            typeDefinitions       ---------------         No       --------------
                 ---------------    ---                      stmts       ---------------         No       --------------
                            type     13                    TK_TYPE       ---------------        Yes          declaration
                 ---------------    ---                declaration       ---------------         No       --------------
                          record     13                  TK_RECORD       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                            #two     13                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---                   dataType       ---------------         No       --------------
                               :     13                   TK_COLON       ---------------        Yes          declaration
                          b5b567     13                      TK_ID       ---------------        Yes          declaration
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---              global_or_not       ---------------         No       --------------
                               ;     13                     TK_SEM       ---------------        Yes          declaration
                 ---------------    ---               declarations       ---------------         No       --------------
                            type     14                    TK_TYPE       ---------------        Yes          declaration
                 ---------------    ---                declaration       ---------------         No       --------------
                          record     14                  TK_RECORD       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                            #one     14                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---                   dataType       ---------------         No       --------------
                               :     14                   TK_COLON       ---------------        Yes          declaration
                              b3     14                      TK_ID       ---------------        Yes          declaration
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---              global_or_not       ---------------         No       --------------
                               ;     14                     TK_SEM       ---------------        Yes          declaration
                 ---------------    ---               declarations       ---------------         No       --------------
                            type     15                    TK_TYPE       ---------------        Yes          declaration
                 ---------------    ---                declaration       ---------------         No       --------------
                          #point     15                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                 ---------------    ---                   dataType       ---------------         No       --------------
                               :     15                   TK_COLON       ---------------        Yes          declaration
                              d5     15                      TK_ID       ---------------        Yes          declaration
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---              global_or_not       ---------------         No       --------------
                               ;     15                     TK_SEM       ---------------        Yes          declaration
                 ---------------    ---               declarations       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---               declarations       ---------------         No       --------------
                          b5b567     16                      TK_ID       ---------------        Yes        singleOrRecId
                 ---------------    ---              singleOrRecId       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---  option_single_constructed       ---------------         No       --------------
                 ---------------    ---             assignmentStmt       ---------------         No       --------------
                            <---     16                TK_ASSIGNOP       ---------------        Yes       assignmentStmt
                              c6     16                      TK_ID       ---------------        Yes        singleOrRecId
                 ---------------    ---              singleOrRecId       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---  option_single_constructed       ---------------         No       --------------
                 ---------------    ---                        var       ---------------         No       --------------
                 ---------------    ---                     factor       ---------------         No       --------------
                 ---------------    ---                       term       ---------------         No       --------------
                               *     16                     TK_MUL       ---------------        Yes highPrecedenceOperators
                 ---------------    ---    highPrecedenceOperators       ---------------         No       --------------
                 ---------------    ---                  termPrime       ---------------         No       --------------
                               2     16                     TK_NUM                     2        Yes                  var
                 ---------------    ---                        var       ---------------         No       --------------
                 ---------------    ---                     factor       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---                  termPrime       ---------------         No       --------------
                 ---------------    ---       arithmeticExpression       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---                   expPrime       ---------------         No       --------------
                               ;     16                     TK_SEM       ---------------        Yes       assignmentStmt
                 ---------------    ---                       stmt       ---------------         No       --------------
                 ---------------    ---                 otherStmts       ---------------         No       --------------
                              b3     17                      TK_ID       ---------------        Yes        singleOrRecId
                 ---------------    ---              singleOrRecId       ---------------         No       --------------
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---  option_single_constructed       ---------------         No       --------------
                 ---------------    ---             assignmentStmt       ---------------         No       --------------
