                          Lexeme   Line                 Token Type                 Value     IsLeaf         Parent Token
                    _recordDemo1      1                   TK_FUNID       ---------------        Yes             function
                 ---------------    ---                   function       ---------------         No       --------------
                           input      1                   TK_INPUT       ---------------        Yes            input_par
                 ---------------    ---                  input_par       ---------------         No       --------------
                       parameter      1               TK_PARAMETER       ---------------        Yes            input_par
                            list      1                    TK_LIST       ---------------        Yes            input_par
                               [      1                     TK_SQL       ---------------        Yes            input_par
                          record      1                  TK_RECORD       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                           #book      1                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---                   dataType       ---------------         No       --------------
                 ---------------    ---             parameter_list       ---------------         No       --------------
                          d5cc34      1                      TK_ID       ---------------        Yes       parameter_list
                               ,      1                   TK_COMMA       ---------------        Yes       remaining_list
                 ---------------    ---             remaining_list       ---------------         No       --------------
                          record      1                  TK_RECORD       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                           #book      1                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---                   dataType       ---------------         No       --------------
                 ---------------    ---             parameter_list       ---------------         No       --------------
                            d2cd      1                      TK_ID       ---------------        Yes       parameter_list
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---             remaining_list       ---------------         No       --------------
                               ]      1                     TK_SQR       ---------------        Yes            input_par
                          output      2                  TK_OUTPUT       ---------------        Yes           output_par
                 ---------------    ---                 output_par       ---------------         No       --------------
                       parameter      2               TK_PARAMETER       ---------------        Yes           output_par
                            list      2                    TK_LIST       ---------------        Yes           output_par
                               [      2                     TK_SQL       ---------------        Yes           output_par
                          record      2                  TK_RECORD       ---------------        Yes  constructedDatatype
                 ---------------    ---        constructedDatatype       ---------------         No       --------------
                           #book      2                    TK_RUID       ---------------        Yes  constructedDatatype
                 ---------------    ---                   dataType       ---------------         No       --------------
                 ---------------    ---             parameter_list       ---------------         No       --------------
                              d3      2                      TK_ID       ---------------        Yes       parameter_list
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---             remaining_list       ---------------         No       --------------
                               ]      2                     TK_SQR       ---------------        Yes           output_par
                               ;      2                     TK_SEM       ---------------        Yes             function
                          record      3                  TK_RECORD       ---------------        Yes       typeDefinition
                 ---------------    ---             typeDefinition       ---------------         No       --------------
                            #new      3                    TK_RUID       ---------------        Yes       typeDefinition
                            type      4                    TK_TYPE       ---------------        Yes      fieldDefinition
                 ---------------    ---            fieldDefinition       ---------------         No       --------------
                             int      4                     TK_INT       ---------------        Yes    primitiveDatatype
                 ---------------    ---          primitiveDatatype       ---------------         No       --------------
                 ---------------    ---                  fieldType       ---------------         No       --------------
                               :      4                   TK_COLON       ---------------        Yes      fieldDefinition
                           value      4                 TK_FIELDID       ---------------        Yes      fieldDefinition
                               ;      4                     TK_SEM       ---------------        Yes      fieldDefinition
                 ---------------    ---           fieldDefinitions       ---------------         No       --------------
                            type      5                    TK_TYPE       ---------------        Yes      fieldDefinition
                 ---------------    ---            fieldDefinition       ---------------         No       --------------
                            real      5                    TK_REAL       ---------------        Yes    primitiveDatatype
                 ---------------    ---          primitiveDatatype       ---------------         No       --------------
                 ---------------    ---                  fieldType       ---------------         No       --------------
                               :      5                   TK_COLON       ---------------        Yes      fieldDefinition
                            cost      5                 TK_FIELDID       ---------------        Yes      fieldDefinition
                               ;      5                     TK_SEM       ---------------        Yes      fieldDefinition
                 ---------------    ---                 TK_EPSILON       ---------------         No       --------------
                 ---------------    ---                 moreFields       ---------------         No       --------------
                       endrecord      6               TK_ENDRECORD       ---------------        Yes       typeDefinition
                 ---------------    ---          actualOrRedefined       ---------------         No       --------------
                 ---------------    ---            typeDefinitions       ---------------         No       --------------
